所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示/,全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示 - 类型,系统已启动，用户已登录,"1. 打开全局看板页面
2. 进入最近项目展示区域
3. 查看列表展示
4. 选择特定类型的项目","1. 成功打开全局看板页面
2. 最近项目展示区域显示正确
3. 列表展示的项目按照类型分类清晰
4. 选择特定类型后，展示的项目列表正确更新",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示/,全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示 - 状态,系统已启动，用户已登录,"1. 打开全局看板页面
2. 进入最近项目展示区域
3. 查看列表展示","1. 成功打开全局看板页面
2. 最近项目展示区域显示正常
3. 列表展示的项目状态清晰可见",1,1,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示/,全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示 - 产品数,系统已启动，用户已登录,"1. 打开全局看板页面
2. 进入最近项目展示区域
3. 查看产品数列表","1. 成功打开全局看板页面
2. 正确进入最近项目展示区域
3. 产品数列表完整展示",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示/,全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示 - 设备数,系统已启动，用户已登录,"1. 打开全局看板页面
2. 进入最近项目展示区域
3. 查看设备数列表","1. 成功打开全局看板页面
2. 正确进入最近项目展示区域
3. 设备数列表完整展示",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示 - 操作 - 进入项目/,全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示 - 操作 - 进入项目 - 点击进入项目详情→项目总览页面,系统已启动，用户已登录，全局看板最近项目展示区域已加载,"1. 进入全局看板最近项目展示区域
2. 查找目标项目
3. 点击目标项目进入项目详情","1. 成功进入项目详情页面
2. 显示项目总览信息
3. 页面布局符合项目总览页面设计规范",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成）/,全局看板（封伟/林禹成） - 重点关注：老数据的统计,系统已启动，用户已登录,"1. 打开全局看板页面
2. 选择重点关注模块
3. 选择老数据统计选项","1. 成功打开全局看板页面
2. 重点关注模块显示正常
3. 老数据统计选项正确加载",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 重点关注/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 重点关注 - 版本部署的同时，一休云质检空间的创建，编辑，结项，成员管理的口子全部取消，EIIR这些功能保持不变,系统已启动，用户已登录，且用户具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中填写项目空间相关信息","1. 成功打开创建项目空间弹框
2. 弹框中包含版本部署、一休云质检空间的创建、编辑、结项、成员管理等功能入口已被取消
3. EIIR这些功能入口保持可见并可操作",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 重点关注/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 重点关注 - 从DMP创建的空间，产品，机器，是否可以正常进行发图收图，策略，标签，光学面配置等功能的正常使用,系统已启动，用户已登录，且用户具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中选择从DMP创建的空间
4. 选择对应的产品、机器
5. 配置策略、标签、光学面","1. 成功打开创建项目空间弹框
2. 从DMP创建的空间、产品、机器列表显示正常
3. 发图收图功能可以正常使用
4. 策略、标签、光学面配置功能可以正常使用
5. ",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目标识/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目标识 - 必填项,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在创建项目空间弹框中，进入项目标识页面","1. 成功打开创建项目空间弹框
2. 项目标识页面显示
3. 项目标识为必填项，且有相应的提示信息",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目标识 - 仅支持英文、数字、中划线输入(原一休支持，中横杠和下划线，例：YiXiu4_11/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目标识 - 仅支持英文、数字、中划线输入(原一休支持，中横杠和下划线，例：YiXiu4_11 - BGHNDZ),系统已启动，用户已登录，且已进入项目管理列表页,"1. 点击创建项目空间按钮
2. 进入创建项目空间弹框
3. 在项目标识输入框中输入测试数据","1. 成功进入创建项目空间弹框
2. 项目标识输入框可接受英文、数字和中划线输入
3. 输入符合规则的项目标识后，系统无错误提示",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目标识/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目标识 - 标识唯一,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中输入项目标识","1. 成功打开创建项目空间弹框
2. 项目标识输入框可正常使用
3. 输入的项目标识在系统中是唯一的",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目标识/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目标识 - 长度32,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中输入项目标识","1. 成功打开创建项目空间弹框
2. 项目标识输入框可见
3. 项目标识输入框允许输入长度为32的字符",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目名称/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目名称 - 必填项,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中填写项目名称","1. 成功打开创建项目空间弹框
2. 项目名称字段为必填项
3. 提交弹框时，如果没有填写项目名称，系统提示必填项错误",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目名称/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目名称 - 仅支持英文、中文，数字、中/下划线输入,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中输入项目名称","1. 成功打开创建项目空间弹框
2. 项目名称输入框仅支持英文、中文，数字，中/下划线输入
3. 输入非法字符时，系统应给出错误提示",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目名称/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目名称 - 名称唯一,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中输入项目名称","1. 成功打开创建项目空间弹框
2. 输入的项目名称显示在弹框中
3. 系统验证项目名称的唯一性，并给出相应的提示信息",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目名称/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目名称 - 长度32,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中输入项目名称","1. 成功打开创建项目空间弹框
2. 项目名称输入框可见
3. 输入的项目名称长度不超过32个字符",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型 - 质检(默认值),系统已启动，用户已登录，且已进入项目管理列表页,"1. 点击创建项目空间按钮
2. 在弹框中选择项目类型
3. 选择质检作为项目类型","1. 成功打开创建项目空间弹框
2. 项目类型列表完整显示
3. 质检选项被选中且为默认值",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型 - 操作,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中选择项目类型","1. 成功打开创建项目空间弹框
2. 弹框中显示所有可用的项目类型
3. 选择项目类型后，弹框正确显示所选项目类型信息",1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型 - 打磨,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中选择项目类型为打磨
4. ","1. 成功打开创建项目空间弹框
2. 弹框中显示打磨项目类型选项
3. 选择打磨项目类型后，弹框正确显示相关信息
4. 点击确认按钮，系统成功创建项目空间",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型 - 焊接,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中选择项目类型为焊接
4. ","1. 成功打开创建项目空间弹框
2. 弹框中显示焊接项目类型选项
3. 选择焊接项目类型后，弹框正确显示相关信息
4. 点击确认按钮，系统成功创建项目空间",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型 - 必选项,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在创建项目空间弹框中，选择项目类型","1. 成功打开创建项目空间弹框
2. 项目类型选项完整显示
3. 必选项标记清晰可见，且创建项目空间按钮处于禁用状态，直到必选项被选中",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目类型 - 当前只有质检，其他置灰,系统已启动，用户已登录，且当前用户有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中选择项目类型","1. 成功打开创建项目空间弹框
2. 项目类型列表中只显示质检选项
3. 其他项目类型选项均置灰不可选",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 所属行业/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 所属行业 - 3C电子,系统已启动，用户已登录，且已进入项目管理列表页,"1. 点击创建项目空间按钮
2. 在弹框中选择所属行业为3C电子
3. ","1. 成功打开创建项目空间弹框
2. 所属行业下拉列表中正确显示3C电子选项
3. 选择3C电子后，系统正确记录所选行业",1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 所属行业/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 所属行业 - 汽车配件,系统已启动，用户已登录，且已进入项目管理列表页,"1. 点击创建项目空间按钮
2. 在弹框中选择所属行业为汽车配件
3. ","1. 成功打开创建项目空间弹框
2. 所属行业下拉列表中显示汽车配件选项
3. 选择汽车配件后，弹框正确显示相关联的信息和选项",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 所属行业/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 所属行业 - 必选项,系统已启动，用户已登录，且已进入项目管理列表页,"1. 点击创建项目空间按钮
2. 在创建项目空间弹框中，选择所属行业
3. ","1. 成功打开创建项目空间弹框
2. 所属行业选项已正确显示
3. 必选项标记清晰可见，且未选择所属行业时无法提交",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 所属行业/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 所属行业 - 原型提供的行业字典链接不存在,系统已启动，用户已登录，且已进入项目管理列表页,"1. 点击创建项目空间按钮
2. 在创建项目空间弹框中，选择所属行业
3. 尝试访问原型提供的行业字典链接","1. 成功打开创建项目空间弹框
2. 所属行业选项正常显示
3. 原型提供的行业字典链接不存在，无法访问",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目描述/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目描述 - 文案：请输入不超过250个字符,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中输入项目描述","1. 成功打开创建项目空间弹框
2. 项目描述输入框可见
3. 输入的项目描述字符数不超过250个字符",1,3,功能测试,功能测试阶段
