所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已创建/,任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已创建 - 状态为“已创建”，还未采集完成的任务,系统已启动，用户已登录,"1. 打开任务管理页面
2. 选择当前用户的数据或管理员权限
3. 查看状态为“已创建”的任务","1. 成功打开任务管理页面
2. 正确显示当前用户的数据或所有数据
3. 列出状态为“已创建”的任务，且未采集完成",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已采集/,任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已采集 - 状态为“已采集”，还未提交标注的任务,系统已启动，用户已登录,"1. 打开任务管理页面
2. 选择数据展示选项
3. 设置状态为“已采集”并过滤未提交标注的任务","1. 成功打开任务管理页面
2. 数据展示选项正确选择
3. 系统成功显示当前用户的已采集且未提交标注的任务",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已标注/,任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已标注 - 状态为“已标注”，还未完成质检的任务,系统已启动，用户已登录,"1. 打开任务管理页面
2. 选择当前用户的数据或管理员展示所有数据
3. 过滤状态为“已标注”的任务
4. 查看未完成质检的任务","1. 成功打开任务管理页面
2. 数据正确展示
3. 状态为“已标注”的任务成功过滤
4. 显示未完成质检的任务列表",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已质检/,任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已质检 - 状态为“已质检”，还未进行数据转换的任务,系统已启动，用户已登录,"1. 打开任务管理功能页面
2. 选择当前用户的数据或管理员权限
3. 设置过滤条件为状态为“已质检”且未进行数据转换
4. 点击查询按钮","1. 成功打开任务管理页面
2. 正确显示当前用户的数据或所有数据
3. 过滤条件应用成功
4. 系统成功展示符合条件的任务列表",1,1,功能测试,功能测试阶段
/任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已转换/,任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已转换 - 状态为“已转换”，还未进行数据导出的任务,系统已启动，用户已登录,"1. 打开任务管理功能页面
2. 选择当前用户的数据或管理员展示所有数据
3. 过滤状态为“已转换”的任务
4. 检查未进行数据导出的任务","1. 成功打开任务管理页面
2. 正确展示当前用户的数据或管理员展示所有数据
3. 成功过滤出状态为“已转换”的任务
4. 正确显示未进行数据导出的任务",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已导出/,任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 已导出 - 状态为“已导出”，已完成数据导出的任务,系统已启动，用户已登录,"1. 打开任务管理页面
2. 选择当前用户的数据或管理员权限
3. 设置状态为“已导出”
4. 点击查询按钮","1. 成功打开任务管理页面
2. 正确显示当前用户的数据或所有数据
3. 系统成功过滤出状态为“已导出”的任务
4. 显示已完成数据导出的任务列表",1,1,功能测试,功能测试阶段
/任务管理（林禹成） - 查询/,任务管理（林禹成） - 查询 - 任务名称/编号模糊查询,系统已启动，用户已登录,"1. 打开任务管理页面
2. 在查询框中输入任务名称或编号
3. 点击查询按钮","1. 成功打开任务管理页面
2. 查询框正确显示输入内容
3. 系统成功返回匹配的任务列表",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 查询 - 状态[下拉框]/,任务管理（林禹成） - 查询 - 状态[下拉框] - 已创建,系统已启动，用户已登录,"1. 打开任务管理页面
2. 在状态下拉框中选择'已创建'
3. 点击查询按钮","1. 成功打开任务管理页面
2. 状态下拉框正确显示'已创建'
3. 系统成功查询并显示已创建的任务列表",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 查询 - 状态[下拉框]/,任务管理（林禹成） - 查询 - 状态[下拉框] - 已采集,系统已启动，用户已登录,"1. 打开任务管理页面
2. 在状态下拉框中选择'已采集'
3. 点击查询按钮","1. 成功打开任务管理页面
2. 状态下拉框正确显示'已采集'
3. 系统成功查询并显示相关任务",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 查询 - 状态[下拉框]/,任务管理（林禹成） - 查询 - 状态[下拉框] - 已标注,系统已启动，用户已登录,"1. 打开任务管理页面
2. 在状态下拉框中选择'已标注'
3. 点击查询按钮","1. 成功打开任务管理页面
2. 状态下拉框正确显示'已标注'
3. 系统成功处理并显示查询结果",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 查询 - 状态[下拉框]/,任务管理（林禹成） - 查询 - 状态[下拉框] - 已质检,系统已启动，用户已登录,"1. 打开任务管理页面
2. 在状态下拉框中选择'已质检'
3. 点击查询按钮","1. 成功打开任务管理页面
2. 状态下拉框成功选择'已质检'
3. 系统成功显示已质检的任务列表",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 查询 - 状态[下拉框]/,任务管理（林禹成） - 查询 - 状态[下拉框] - 已转换,系统已启动，用户已登录,"1. 打开任务管理页面
2. 在状态下拉框中选择'已转换'
3. 点击查询按钮","1. 成功打开任务管理页面
2. 状态下拉框正确显示'已转换'
3. 系统成功查询并显示已转换的任务列表",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 查询 - 状态[下拉框]/,任务管理（林禹成） - 查询 - 状态[下拉框] - 已导出,系统已启动，用户已登录,"1. 打开任务管理页面
2. 在状态下拉框中选择'已导出'
3. 点击查询按钮","1. 成功打开任务管理页面
2. 状态下拉框正确显示'已导出'
3. 系统成功查询并显示相关任务",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 查询 - 【查询】/,任务管理（林禹成） - 查询 - 【查询】 - 查询显示符合筛选条件的数据,系统已启动，用户已登录,"1. 打开任务管理页面
2. 输入筛选条件
3. 点击查询按钮","1. 成功打开任务管理页面
2. 筛选条件正确输入
3. 系统成功显示符合筛选条件的数据",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 查询 - 【查询】/,任务管理（林禹成） - 查询 - 【查询】 - 翻页后查询数据正常,系统已启动，用户已登录,"1. 打开任务管理页面
2. 输入查询条件
3. 点击查询按钮
4. 翻页查看查询结果","1. 成功打开任务管理页面
2. 查询条件正确输入
3. 系统成功处理并显示查询结果
4. 翻页后查询结果正常显示",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 查询 - 【重置】/,任务管理（林禹成） - 查询 - 【重置】 - 回到默认为空进行查询,系统已启动，用户已登录,"1. 打开任务管理页面
2. 输入查询条件
3. 点击重置按钮","1. 成功打开任务管理页面
2. 查询条件被清空
3. 系统返回到默认状态，准备进行新的查询",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 任务名称/,任务管理（林禹成） - 【创建任务】 - * 任务名称 - 必填项,系统已启动，用户已登录,"1. 打开任务管理页面
2. 输入任务名称
3. 点击创建任务按钮","1. 成功打开任务管理页面
2. 任务名称正确输入
3. 系统成功处理并提示任务创建成功",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 任务名称 - 限制/,任务管理（林禹成） - 【创建任务】 - * 任务名称 - 限制 - 长度<=32,系统已启动，用户已登录,"1. 打开任务管理页面
2. 输入任务名称，确保长度不超过32个字符
3. 点击创建任务按钮","1. 成功打开任务管理页面
2. 任务名称正确输入且长度符合要求
3. 系统成功处理并提示任务创建成功",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 任务名称 - 限制/,任务管理（林禹成） - 【创建任务】 - * 任务名称 - 限制 - 仅支持中英文字母、数字、_ 、,系统已启动，用户已登录,"1. 打开任务管理功能页面
2. 输入任务名称（仅支持中英文字母、数字、_）
3. 点击创建任务按钮","1. 成功打开任务管理页面
2. 任务名称正确输入且符合限制
3. 系统成功处理并提示任务创建成功",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 任务描述 - 限制/,任务管理（林禹成） - 【创建任务】 - 任务描述 - 限制 - 长度<=255,系统已启动，用户已登录,"1. 打开任务管理页面
2. 输入任务描述，长度为256字符
3. 点击提交按钮","1. 成功打开页面
2. 系统提示任务描述长度超出限制
3. 不允许提交任务",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 标注层级 - 【添加根节点】/,任务管理（林禹成） - 【创建任务】 - 标注层级 - 【添加根节点】 - 长度<=16,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 输入根节点名称（长度<=16）
4. 点击添加根节点按钮","1. 成功打开任务管理页面
2. 创建任务窗口成功弹出
3. 根节点名称正确输入
4. 系统成功添加根节点并提示操作成功",1,1,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 标注层级 - 鼠标移动到添加的根节点 - 【+同级】/,任务管理（林禹成） - 【创建任务】 - 标注层级 - 鼠标移动到添加的根节点 - 【+同级】 - 添加同级节点,系统已启动，用户已登录,"1. 打开任务管理功能页面
2. 鼠标移动到添加的根节点
3. 点击【+同级】按钮
4. 输入同级节点的名称
5. 点击提交按钮","1. 成功打开任务管理页面
2. 鼠标成功移动到根节点
3. 成功显示【+同级】选项
4. 同级节点名称正确输入
5. 系统成功处理并提示操作成功",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 标注层级 - 鼠标移动到添加的根节点 - 【+子级】/,任务管理（林禹成） - 【创建任务】 - 标注层级 - 鼠标移动到添加的根节点 - 【+子级】 - 添加节点下的子节点,系统已启动，用户已登录,"1. 打开任务管理页面
2. 鼠标移动到添加的根节点
3. 点击【+子级】按钮
4. 输入子节点名称
5. 点击提交按钮","1. 成功打开任务管理页面
2. 鼠标成功悬停在根节点上
3. 子级添加选项成功显示
4. 子节点名称正确输入
5. 系统成功处理并提示操作成功",1,1,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 标注层级 - 鼠标移动到添加的根节点 - 【编辑】/,任务管理（林禹成） - 【创建任务】 - 标注层级 - 鼠标移动到添加的根节点 - 【编辑】 - 可重新编辑节点名,系统已启动，用户已登录,"1. 打开任务管理功能页面
2. 创建一个新的任务并添加根节点
3. 鼠标移动到添加的根节点
4. 点击编辑按钮
5. 输入新的节点名","1. 成功打开任务管理页面
2. 新任务和根节点成功创建
3. 鼠标成功移动到根节点
4. 编辑按钮可点击
5. 节点名成功更新",1,1,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 标注层级 - 鼠标移动到添加的根节点 - 【删除】 - 节点下无子节点 - 二次确认“确定删除该节点？”/,任务管理（林禹成） - 【创建任务】 - 标注层级 - 鼠标移动到添加的根节点 - 【删除】 - 节点下无子节点 - 二次确认“确定删除该节点？” - 删除该节点,系统已启动，用户已登录,"1. 打开任务管理页面
2. 鼠标移动到添加的根节点
3. 点击删除按钮
4. 确认弹出框中点击“确定”按钮","1. 成功打开任务管理页面
2. 鼠标成功移动到根节点
3. 弹出删除确认框
4. 节点成功删除",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 标注层级 - 鼠标移动到添加的根节点 - 【删除】 - 节点下有子节点 - 二次确认“确定删除该节点及其下 X 个子节点？”/,任务管理（林禹成） - 【创建任务】 - 标注层级 - 鼠标移动到添加的根节点 - 【删除】 - 节点下有子节点 - 二次确认“确定删除该节点及其下 X 个子节点？” - 删除节点，节点下有子节点一并删除,系统已启动，用户已登录,"1. 打开任务管理页面
2. 鼠标移动到添加的根节点
3. 点击删除按钮
4. 确认弹出框中点击“确定”按钮","1. 成功打开任务管理页面
2. 鼠标成功移动到根节点
3. 弹出删除确认框
4. 节点及其下的子节点成功删除",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 标注层级/,任务管理（林禹成） - 【创建任务】 - 标注层级 - 作用：根节点相当于标注的L1层，根节点下的子节点相当于标注的L2层，依此类推。标注新增时，“描述”下拉中会展示对应的节点名称，用于标注时的快速选择，无需自己再手动输入,系统已启动，用户已登录,"1. 打开任务管理功能页面
2. 选择创建任务选项
3. 在描述下拉中查看对应的节点名称","1. 成功打开任务管理页面
2. 成功进入创建任务界面
3. 描述下拉中展示对应的节点名称",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 数据分类/,任务管理（林禹成） - 【创建任务】 - * 数据分类 - 必填项，单选,系统已启动，用户已登录,"1. 打开任务管理页面
2. 选择数据分类
3. 点击创建任务按钮","1. 成功打开任务管理页面
2. 数据分类正确选择
3. 系统成功处理并提示任务创建成功",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 数据分类/,任务管理（林禹成） - 【创建任务】 - * 数据分类 - 下拉数据来源：数据分类管理,系统已启动，用户已登录,"1. 打开任务管理功能页面
2. 选择数据分类下拉框
3. 从下拉列表中选择数据来源：数据分类管理
4. 点击创建任务按钮","1. 成功打开任务管理页面
2. 数据分类下拉框成功显示
3. 数据来源：数据分类管理成功被选中
4. 系统成功处理并提示任务创建成功",1,1,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 数据分类 - 展示规则：分类编码/,任务管理（林禹成） - 【创建任务】 - * 数据分类 - 展示规则：分类编码 - 分类名称,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 输入分类编码和分类名称
4. 点击提交按钮","1. 成功打开任务管理页面
2. 成功显示创建任务界面
3. 数据正确输入
4. 系统成功处理并提示任务创建成功",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 数据分类/,任务管理（林禹成） - 【创建任务】 - * 数据分类 - 创建时间倒序,系统已启动，用户已登录,"1. 打开任务管理页面
2. 选择数据分类
3. 设置创建时间为倒序
4. 点击创建任务按钮","1. 成功打开任务管理页面
2. 数据分类成功选择
3. 创建时间设置为倒序
4. 系统成功处理并提示任务创建成功",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 标签/,任务管理（林禹成） - 【创建任务】 - * 标签 - 必填项，可多选,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 输入任务标题
4. 选择标签（可多选）
5. 点击提交按钮","1. 成功打开任务管理页面
2. 成功显示创建任务界面
3. 任务标题正确输入
4. 标签成功选择
5. 系统成功处理并提示任务创建成功",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 标签/,任务管理（林禹成） - 【创建任务】 - * 标签 - 下拉数据来源：标签管理,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 在标签输入框中选择下拉数据来源：标签管理
4. 输入任务名称和描述
5. 点击提交按钮","1. 成功打开任务管理页面
2. 创建任务窗口成功弹出
3. 标签下拉框成功显示标签管理中的数据
4. 任务名称和描述正确输入
5. 系统成功处理并提示任务创建成功",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 标签/,任务管理（林禹成） - 【创建任务】 - * 标签 - 展示规则：标签名称,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 输入任务名称和选择标签
4. 点击提交按钮","1. 成功打开任务管理页面
2. 创建任务窗口成功弹出
3. 标签名称正确显示
4. 系统成功处理并提示任务创建成功",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 标签/,任务管理（林禹成） - 【创建任务】 - * 标签 - 创建时间倒序,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 输入任务标题和描述
4. 选择标签
5. 设置创建时间为倒序
6. 点击提交按钮","1. 成功打开任务管理页面
2. 成功弹出创建任务窗口
3. 任务标题和描述正确输入
4. 标签成功选择
5. 创建时间设置为倒序
6. 系统成功处理并提示任务创建成功",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 机器人构型/,任务管理（林禹成） - 【创建任务】 - * 机器人构型 - 必填项，单选,系统已启动，用户已登录,"1. 打开任务管理功能页面
2. 选择机器人构型
3. 填写必填项
4. 点击提交按钮","1. 成功打开任务管理页面
2. 成功选择机器人构型
3. 必填项正确填写
4. 系统成功处理并提示任务创建成功",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 机器人构型/,任务管理（林禹成） - 【创建任务】 - * 机器人构型 - 下拉数据来源：机器人构型管理,系统已启动，用户已登录,"1. 打开任务管理页面
2. 选择机器人构型作为数据来源
3. 输入任务名称和描述
4. 点击创建任务按钮","1. 成功打开任务管理页面
2. 数据来源成功选择为机器人构型
3. 任务名称和描述正确输入
4. 系统成功处理并提示任务创建成功",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 机器人构型/,任务管理（林禹成） - 【创建任务】 - * 机器人构型 - 展示规则：构型名称（机器人型号）,系统已启动，用户已登录,"1. 打开任务管理页面
2. 选择创建任务选项
3. 输入机器人构型名称
4. 点击提交按钮","1. 成功打开任务管理页面
2. 成功进入创建任务界面
3. 机器人构型名称正确输入
4. 系统成功处理并提示任务创建成功",1,1,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 机器人构型/,任务管理（林禹成） - 【创建任务】 - * 机器人构型 - 创建时间倒序,系统已启动，用户已登录,"1. 打开任务管理页面
2. 选择创建任务功能
3. 输入机器人构型和创建时间倒序的相关信息
4. 点击提交按钮","1. 成功打开任务管理页面
2. 成功进入创建任务功能
3. 输入信息正确显示
4. 系统成功处理并提示任务创建成功",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 采集要求 - 限制/,任务管理（林禹成） - 【创建任务】 - 采集要求 - 限制 - 长度<=255,系统已启动，用户已登录,"1. 打开任务管理页面
2. 输入任务名称，长度超过255个字符
3. 点击提交按钮","1. 成功打开页面
2. 系统提示任务名称长度超过限制
3. 不允许提交任务",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 目标数量/,任务管理（林禹成） - 【创建任务】 - * 目标数量 - 默认：100,系统已启动，用户已登录,"1. 打开任务管理功能页面
2. 输入目标数量为默认值100
3. 点击创建任务按钮","1. 成功打开任务管理页面
2. 目标数量正确显示为100
3. 系统成功处理并提示任务创建成功",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - * 目标数量/,"任务管理（林禹成） - 【创建任务】 - * 目标数量 - 可输入范围 [1,10000]",系统已启动，用户已登录,"1. 打开任务管理页面
2. 输入目标数量（范围1到10000）
3. 点击创建任务按钮","1. 成功打开任务管理页面
2. 目标数量正确输入
3. 系统成功处理并提示任务创建成功",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 优先级/,任务管理（林禹成） - 【创建任务】 - 优先级 - 低,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 输入任务名称和描述
4. 设置优先级为低
5. 点击提交按钮","1. 成功打开任务管理页面
2. 成功弹出创建任务窗口
3. 任务名称和描述正确输入
4. 优先级设置为低
5. 系统成功处理并提示任务创建成功",1,1,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 优先级 - 中/,任务管理（林禹成） - 【创建任务】 - 优先级 - 中 - 默认,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 输入任务名称和描述
4. 选择优先级为中
5. 点击提交按钮","1. 成功打开任务管理页面
2. 成功弹出创建任务窗口
3. 任务名称和描述正确输入
4. 优先级设置为中
5. 系统成功处理并提示任务创建成功",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 优先级/,任务管理（林禹成） - 【创建任务】 - 优先级 - 高,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 输入任务名称和描述
4. 选择优先级为高
5. 点击提交按钮","1. 成功打开任务管理页面
2. 成功显示创建任务界面
3. 输入的任务名称和描述正确显示
4. 选择的优先级为高
5. 系统成功处理并提示任务创建成功",1,2,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 【取消】/,任务管理（林禹成） - 【创建任务】 - 【取消】 - 关闭弹框，不创建,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 在弹框中点击取消按钮","1. 成功打开任务管理页面
2. 创建任务弹框成功显示
3. 弹框关闭，未创建任务",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 【创建任务】 - 校验/,任务管理（林禹成） - 【创建任务】 - 【创建任务】 - 校验 - 必填项校验,系统已启动，用户已登录,"1. 打开任务管理页面
2. 点击创建任务按钮
3. 不输入必填项数据
4. 点击提交按钮","1. 成功打开任务管理页面
2. 弹出创建任务窗口
3. 系统提示必填项不能为空
4. 提交操作未成功",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 【创建任务】 - 校验 - 幂等测试/,任务管理（林禹成） - 【创建任务】 - 【创建任务】 - 校验 - 幂等测试 - 任务名称唯一性校验,系统已启动，用户已登录,"1. 打开任务管理页面
2. 输入任务名称
3. 点击创建任务按钮","1. 成功打开任务管理页面
2. 任务名称正确输入
3. 系统提示任务名称已存在，创建失败",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 【创建任务】 - 校验/,任务管理（林禹成） - 【创建任务】 - 【创建任务】 - 校验 - 所选“数据分类、标签、机器人构型”不存在,系统已启动，用户已登录,"1. 打开任务管理页面
2. 选择不存在的数据分类
3. 选择不存在的标签
4. 选择不存在的机器人构型
5. 点击创建任务按钮","1. 成功打开任务管理页面
2. 系统提示所选数据分类不存在
3. 系统提示所选标签不存在
4. 系统提示所选机器人构型不存在
5. 创建任务操作未成功",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 【创建任务】 - 【创建任务】/,任务管理（林禹成） - 【创建任务】 - 【创建任务】 - 创建成功后，列表页生成一条数据，状态为“已创建”，采集人、标注人、质检人展示“未指派”,系统已启动，用户已登录,"1. 打开任务管理页面
2. 输入任务名称和相关信息
3. 点击创建任务按钮","1. 成功打开任务管理页面
2. 任务名称和相关信息正确输入
3. 系统成功处理并提示任务创建成功，列表页生成一条数据，状态为“已创建”，采集人、标注人、质检人展示“未指派”",1,1,功能测试,功能测试阶段
/任务管理（林禹成） - 列表页 - 任务编号 - 自动生成，规则：TASK - 年/,任务管理（林禹成） - 列表页 - 任务编号 - 自动生成，规则：TASK - 年 - 001自增,系统已启动，用户已登录,"1. 打开任务管理列表页面
2. 创建新任务
3. 查看任务编号","1. 成功打开任务管理列表页面
2. 新任务成功创建
3. 任务编号自动生成，格式为TASK - 年 - 001自增",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 列表页 - 任务名称/,任务管理（林禹成） - 列表页 - 任务名称 - 与创建任务时填写的一致,系统已启动，用户已登录,"1. 打开任务管理列表页面
2. 查找并选择已创建的任务
3. 比对任务名称与创建时填写的名称","1. 成功打开任务管理列表页面
2. 成功找到已创建的任务
3. 任务名称与创建时填写的名称一致",1,4,功能测试,功能测试阶段
/任务管理（林禹成） - 列表页 - 分类 - 与创建任务时选择的数据分类一致/,任务管理（林禹成） - 列表页 - 分类 - 与创建任务时选择的数据分类一致 - 只展示分类名称,系统已启动，用户已登录,"1. 打开任务管理列表页面
2. 选择一个分类
3. 查看列表中展示的任务分类名称","1. 成功打开任务管理列表页面
2. 选择的分类正确显示
3. 列表中仅展示与创建任务时选择的分类名称一致的任务",1,2,功能测试,功能测试阶段
