所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/用户管理（封伟） - 【新建用户】 - *账号/,新建用户-账号为空时提示必填,已登录系统并进入用户管理-新建用户页面,"1. 点击“新建用户”按钮，打开新建用户弹窗
2. 不填写账号字段，保持为空
3. 填写其他必填项（姓名、角色）
4. 点击“保存”按钮","1. 新建用户弹窗正常打开
2. 账号字段为空
3. 其他必填项已填写
4. 保存失败，账号字段下方提示“账号必填”或类似必填校验提示，用户未被创建",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号长度为3个字符（边界最小值）,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 在账号输入框中输入3个字符的合法账号（如：abc）
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框正常显示输入的3个字符
2. 其他必填项填写成功
3. 保存成功，列表顶部显示新用户，账号为abc",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号长度为32个字符（边界最大值）,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 在账号输入框中输入32个字符的合法账号（如：a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6）
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框正常显示输入的32个字符
2. 其他必填项填写成功
3. 保存成功，列表顶部显示新用户，账号为32个字符",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号长度为2个字符（边界最小值-1）,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 在账号输入框中输入2个字符的账号（如：ab）
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框显示2个字符
2. 其他必填项填写成功
3. 保存失败，提示账号长度需在3-32之间",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号长度为33个字符（边界最大值+1）,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 在账号输入框中输入33个字符的账号（如：a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6q）
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框显示33个字符
2. 其他必填项填写成功
3. 保存失败，提示账号长度需在3-32之间",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号为空（必填校验）,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 不填写账号输入框
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框为空
2. 其他必填项填写成功
3. 保存失败，提示账号必填",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号仅支持英文字母、数字、下划线-正常输入,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 在账号输入框中输入“test_user123”
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框正常显示输入内容
2. 其他必填项填写成功
3. 保存成功，列表顶部显示新用户，账号为“test_user123”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号包含非法字符-提示错误,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 在账号输入框中输入“test@user”
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框显示“test@user”
2. 其他必填项填写成功
3. 保存失败，提示账号仅支持英文字母、数字、下划线",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号包含中文字符-提示错误,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 在账号输入框中输入“测试账号”
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框显示“测试账号”
2. 其他必填项填写成功
3. 保存失败，提示账号仅支持英文字母、数字、下划线",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号包含空格-提示错误,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 在账号输入框中输入“test user”
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框显示“test user”
2. 其他必填项填写成功
3. 保存失败，提示账号仅支持英文字母、数字、下划线",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号包含连字符-提示错误,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 在账号输入框中输入“test-user”
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框显示“test-user”
2. 其他必填项填写成功
3. 保存失败，提示账号仅支持英文字母、数字、下划线",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号仅包含下划线-正常输入,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 在账号输入框中输入“___”
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框显示“___”
2. 其他必填项填写成功
3. 保存成功，列表顶部显示新用户，账号为“___”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号仅包含数字-正常输入,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 在账号输入框中输入“123456”
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框显示“123456”
2. 其他必填项填写成功
3. 保存成功，列表顶部显示新用户，账号为“123456”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *账号 - 限制：/,新建用户-账号仅包含英文字母-正常输入,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 在账号输入框中输入“testuser”
2. 填写其他必填项（姓名、角色）
3. 点击保存按钮","1. 账号输入框显示“testuser”
2. 其他必填项填写成功
3. 保存成功，列表顶部显示新用户，账号为“testuser”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名/,新建用户时姓名为空，提示必填,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 点击“新建用户”按钮，打开新建用户弹窗
2. 输入账号“test001”（符合规则）
3. 选择角色“算法工程师”
4. 保持“姓名”输入框为空
5. 点击“保存”按钮","1. 弹出新建用户窗口
2. 账号输入成功
3. 角色选择成功
4. 姓名为空
5. 保存失败，姓名下方提示“姓名必填”或类似必填校验信息，用户未被创建",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名长度边界值1字符验证,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 点击“新建用户”按钮，打开新建用户弹窗
2. 在“姓名”输入框中输入1个英文字符“A”
3. 填写其他必填项：账号（如testuser1）、角色（如管理员）
4. 点击“保存”按钮","1. 新建用户弹窗正常打开
2. 姓名输入框可输入1个字符
3. 其他必填项填写成功
4. 保存成功，列表顶部显示新用户，姓名为“A”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名长度边界值16字符验证,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 点击“新建用户”按钮，打开新建用户弹窗
2. 在“姓名”输入框中输入16个英文字符“ABCDEFGHIJKLMNOP”
3. 填写其他必填项：账号（如testuser2）、角色（如算法工程师）
4. 点击“保存”按钮","1. 新建用户弹窗正常打开
2. 姓名输入框可输入16个字符
3. 其他必填项填写成功
4. 保存成功，列表顶部显示新用户，姓名为“ABCDEFGHIJKLMNOP”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名长度超上限17字符校验,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 点击“新建用户”按钮，打开新建用户弹窗
2. 在“姓名”输入框中输入17个英文字符“ABCDEFGHIJKLMNOPQ”
3. 填写其他必填项：账号（如testuser3）、角色（如采集工程师）
4. 点击“保存”按钮","1. 新建用户弹窗正常打开
2. 姓名输入框最多只能输入16个字符，无法输入第17个字符
3. 其他必填项填写成功
4. 保存成功，列表顶部显示新用户，姓名为“ABCDEFGHIJKLMNOP”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名长度0字符校验,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 点击“新建用户”按钮，打开新建用户弹窗
2. 不填写“姓名”输入框，保持为空
3. 填写其他必填项：账号（如testuser4）、角色（如标注工程师）
4. 点击“保存”按钮","1. 新建用户弹窗正常打开
2. 姓名输入框为空
3. 其他必填项填写成功
4. 保存失败，提示“姓名必填”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名输入中文、英文、数字组合-保存成功,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 在姓名字段输入“张三abc123”
2. 填写其他必填项（账号、角色）
3. 点击“保存”按钮","1. 姓名字段可正常输入
2. 其他必填项填写成功
3. 保存成功，列表顶部显示新用户，姓名为“张三abc123”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名仅输入中文-保存成功,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 在姓名字段输入“李四”
2. 填写其他必填项（账号、角色）
3. 点击“保存”按钮","1. 姓名字段可正常输入
2. 其他必填项填写成功
3. 保存成功，列表顶部显示新用户，姓名为“李四”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名仅输入英文字母-保存成功,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 在姓名字段输入“Wang”
2. 填写其他必填项（账号、角色）
3. 点击“保存”按钮","1. 姓名字段可正常输入
2. 其他必填项填写成功
3. 保存成功，列表顶部显示新用户，姓名为“Wang”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名仅输入数字-保存成功,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 在姓名字段输入“123”
2. 填写其他必填项（账号、角色）
3. 点击“保存”按钮","1. 姓名字段可正常输入
2. 其他必填项填写成功
3. 保存成功，列表顶部显示新用户，姓名为“123”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名包含特殊字符-保存失败,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 在姓名字段输入“张@三”
2. 填写其他必填项（账号、角色）
3. 点击“保存”按钮","1. 姓名字段可输入但不符合规则
2. 其他必填项填写成功
3. 保存失败，提示姓名仅支持中英文字母、数字",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名包含空格-保存失败,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 在姓名字段输入“张 三”
2. 填写其他必填项（账号、角色）
3. 点击“保存”按钮","1. 姓名字段可输入但不符合规则
2. 其他必填项填写成功
3. 保存失败，提示姓名仅支持中英文字母、数字",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *姓名 - 限制：/,新建用户-姓名为空-保存失败,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 姓名字段留空
2. 填写其他必填项（账号、角色）
3. 点击“保存”按钮","1. 姓名字段为空
2. 其他必填项填写成功
3. 保存失败，提示姓名必填",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *角色/,新建用户时选择管理员角色并保存成功,已登录系统且具有用户管理权限；用户列表当前无同名账号,"1. 进入用户管理页面，点击“新建用户”按钮
2. 在“账号”输入框输入“admin_test”
3. 在“姓名”输入框输入“测试管理员”
4. 在“角色”下拉框中选择“管理员”
5. 点击“保存”按钮","1. 弹出新建用户表单
2. 账号输入成功
3. 姓名输入成功
4. 角色下拉框显示“管理员”且被选中
5. 保存成功，列表顶部显示新用户，角色列为“管理员”，状态为“启用”，创建时间为当前时间",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *角色/,新建用户-角色选择算法工程师-保存成功,已登录系统且具有用户管理权限；用户管理列表页已打开,"1. 点击“新建用户”按钮，打开新建用户弹窗
2. 输入账号：algo_01（长度3-32，仅英文数字下划线）
3. 输入姓名：张算法（长度1-16，仅中英文数字）
4. 点击角色下拉框，选择“算法工程师”
5. 点击“保存”按钮","1. 弹出新建用户弹窗，显示账号、姓名、角色、密码等字段
2. 账号输入合法，无错误提示
3. 姓名输入合法，无错误提示
4. 角色下拉框中“算法工程师”被选中，显示在输入框中
5. 保存成功，列表顶部显示新用户，角色列为“算法工程师”，状态为“启用”，创建时间为当前时间（年月日时分秒）",1,1,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *角色/,新建用户-角色选择采集工程师-保存成功,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 在新建用户表单中，输入账号：cai_001（长度3-32，仅英文数字下划线）
2. 输入姓名：采集员（长度1-16，仅中英文数字）
3. 在角色下拉框中选择“采集工程师”
4. 点击“保存”按钮","1. 账号输入合法，无校验错误提示
2. 姓名输入合法，无校验错误提示
3. 角色下拉框选中“采集工程师”
4. 保存成功，列表顶部显示新用户，角色显示“采集工程师”，状态为“启用”，创建时间为当前时间（年月日时分秒）",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *角色/,新建用户-角色必选校验-未选择角色提示,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 输入账号：cai_002
2. 输入姓名：采集员2
3. 不选择角色，保持角色下拉框为空
4. 点击“保存”按钮","1. 账号输入合法
2. 姓名输入合法
3. 角色未选择
4. 保存失败，提示“角色必选”或类似错误信息，用户未创建",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *角色/,新建用户-角色选择标注工程师-保存成功,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 在新建用户表单中，输入账号：biaoji01（长度3-32，仅英文数字_）
2. 输入姓名：标注员（长度1-16，仅中英文数字）
3. 点击角色下拉框，选择“标注工程师”
4. 点击“保存”按钮","1. 账号输入成功，无格式错误提示
2. 姓名输入成功，无格式错误提示
3. 角色下拉框中显示“标注工程师”且被选中
4. 保存成功，列表顶部显示新用户，角色列为“标注工程师”，状态为“启用”，创建时间为当前时间（年月日时分秒）",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *角色/,新建用户-角色选择质检工程师-保存成功,已登录系统且具备用户管理权限；用户管理列表页已打开,"1. 点击“新建用户”按钮，打开新建用户弹窗
2. 输入账号：quality01
3. 输入姓名：质检员
4. 点击角色下拉框，选择“质检工程师”
5. 点击“保存”按钮","1. 弹窗正常打开，显示必填项标识
2. 账号输入成功
3. 姓名输入成功
4. 角色下拉框选中“质检工程师”
5. 保存成功，列表顶部显示新用户记录，角色显示“质检工程师”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *角色/,新建用户-角色为质检工程师-列表展示正确,已存在一个角色为“质检工程师”的用户,"1. 进入用户管理列表页
2. 查看列表中的该用户记录","1. 列表页正常显示
2. 该用户记录的角色字段显示为“质检工程师”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 手机号/,新建用户表单不显示手机号字段,以管理员账号登录系统，进入用户管理模块的新建用户页面,"1. 打开新建用户表单
2. 检查表单中所有字段","1. 新建用户表单正常打开
2. 表单中不包含手机号字段，仅显示账号、姓名、角色等字段",1,3,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *初始密码/,新建用户时初始密码为空提示必填,以管理员身份登录系统，进入用户管理模块的新建用户页面,"1. 点击“新建用户”按钮，打开新建用户弹窗
2. 填写账号（如：testuser01）、姓名（如：测试用户）、选择角色（如：标注工程师）
3. 保持“初始密码”输入框为空
4. 点击“保存”按钮","1. 新建用户弹窗正常打开，显示账号、姓名、角色、初始密码等必填项
2. 账号、姓名、角色填写成功
3. 初始密码输入框为空
4. 保存失败，页面提示“初始密码为必填项”，且用户列表不新增该用户",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *初始密码/,新建用户时初始密码默认显示为123456,已登录系统且具有用户管理权限，进入用户管理-新建用户页面,"1. 打开新建用户弹窗/页面
2. 查看初始密码输入框的默认值","1. 新建用户弹窗/页面正常打开
2. 初始密码输入框默认值为123456",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *初始密码 - 可自行修改，限制：/,新建用户初始密码为123456且可修改为合法新密码,以管理员身份登录系统，进入用户管理-新建用户页面,"1. 填写账号（如testuser01）、姓名（如测试用户）、角色（如算法工程师），初始密码保持默认123456，点击保存。
2. 在用户列表中找到该用户，点击编辑。
3. 将密码修改为abc12345（长度8，仅英文数字），点击保存。
4. 使用新密码abc12345登录系统。","1. 用户创建成功，列表顶部显示该用户，初始密码为123456。
2. 进入编辑页面，密码字段可编辑。
3. 保存成功，提示密码修改成功。
4. 登录成功，进入系统首页。",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - *初始密码 - 可自行修改，限制：/,新建用户后使用默认密码登录并修改为合法新密码,存在一个已登录的管理员账号；系统用户管理模块可访问；新建用户页面可用,"1. 使用管理员账号登录系统，进入用户管理模块，点击“新建用户”按钮；
2. 在新建用户表单中，输入账号（如：testuser01）、姓名（如：测试用户）、选择角色（如：标注工程师），密码保持默认123456，点击“保存”；
3. 退出当前登录，使用新创建的用户账号（testuser01）和默认密码123456登录系统；
4. 登录成功后，进入个人设置或修改密码页面，输入原密码123456，新密码为“abc123”，确认新密码为“abc123”，点击“确认修改”；
5. 退出登录，使用新密码“abc123”重新登录该用户账号。","1. 成功进入新建用户页面，表单正常显示；
2. 保存成功，列表顶部显示新用户记录，状态为启用；
3. 使用默认密码123456登录成功，进入系统；
4. 密码修改成功，系统提示修改完成；
5. 使用新密码“abc123”登录成功，进入系统。",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【取消】/,新建用户弹框点击取消后关闭且不保存,已登录系统且具有用户管理权限，进入用户管理列表页,"1. 点击“新建用户”按钮，打开新建用户弹框
2. 在弹框中填写账号、姓名、选择角色等必填信息
3. 点击“取消”按钮","1. 新建用户弹框正常打开
2. 弹框内可正常填写信息
3. 弹框关闭，列表不新增该用户，且无保存操作提示",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【取消】/,新建用户弹框填写部分信息后点击取消不保存,已登录系统且具有用户管理权限，进入用户管理列表页,"1. 点击“新建用户”按钮，打开新建用户弹框
2. 仅填写账号，不填写姓名和角色
3. 点击“取消”按钮","1. 新建用户弹框正常打开
2. 弹框内可填写账号
3. 弹框关闭，列表不新增该用户，且无保存操作提示",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【取消】/,新建用户弹框填写完整信息后点击取消不保存,已登录系统且具有用户管理权限，进入用户管理列表页,"1. 点击“新建用户”按钮，打开新建用户弹框
2. 填写账号“testuser”、姓名“测试用户”、选择角色“算法工程师”
3. 点击“取消”按钮","1. 新建用户弹框正常打开
2. 弹框内可正常填写所有必填信息
3. 弹框关闭，列表不新增该用户，且无保存操作提示",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【保存】 - 校验/,新建用户-保存-必填项校验-账号为空,已登录系统且具备用户管理权限，进入用户管理列表页，点击“新建用户”按钮，弹出新建用户弹窗,"1. 在新建用户弹窗中，不填写“账号”字段；
2. 填写其他所有必填项（姓名、角色）；
3. 点击“保存”按钮。","1. 弹窗正常显示，账号输入框为空；
2. 其他必填项已填写；
3. 保存失败，页面提示“账号必填”或类似必填校验提示，用户未被创建。",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【保存】 - 校验/,新建用户-保存-必填项校验-姓名为空,已登录系统且具备用户管理权限，进入用户管理列表页，点击“新建用户”按钮，弹出新建用户弹窗,"1. 在新建用户弹窗中，填写合法的账号（如“testuser01”）；
2. 不填写“姓名”字段；
3. 选择角色（如“算法工程师”）；
4. 点击“保存”按钮。","1. 账号输入合法；
2. 姓名输入框为空；
3. 角色已选择；
4. 保存失败，页面提示“姓名必填”或类似必填校验提示，用户未被创建。",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【保存】 - 校验/,新建用户-保存-必填项校验-角色未选择,已登录系统且具备用户管理权限，进入用户管理列表页，点击“新建用户”按钮，弹出新建用户弹窗,"1. 在新建用户弹窗中，填写合法的账号（如“testuser02”）；
2. 填写合法的姓名（如“测试用户”）；
3. 不选择“角色”字段；
4. 点击“保存”按钮。","1. 账号输入合法；
2. 姓名输入合法；
3. 角色未选择；
4. 保存失败，页面提示“角色必选”或类似必填校验提示，用户未被创建。",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【保存】 - 校验/,新建用户-保存-必填项校验-账号和姓名均为空,已登录系统且具备用户管理权限，进入用户管理列表页，点击“新建用户”按钮，弹出新建用户弹窗,"1. 在新建用户弹窗中，不填写“账号”字段；
2. 不填写“姓名”字段；
3. 选择角色（如“采集工程师”）；
4. 点击“保存”按钮。","1. 账号输入框为空；
2. 姓名输入框为空；
3. 角色已选择；
4. 保存失败，页面提示“账号必填”和“姓名必填”或类似必填校验提示，用户未被创建。",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【保存】 - 校验 - 幂等校验/,并发创建相同账号时仅一条成功且无重复数据,系统用户管理模块可访问，具备新建用户权限；数据库用户表中不存在账号 'testuser001'；准备两个并发请求（或两个浏览器会话）同时提交新建用户表单,1. 准备两个并发请求，均提交新建用户表单，账号为 'testuser001'，姓名为 '测试用户'，角色为 '算法工程师'，初始密码为 '123456'；\n2. 同时发起这两个请求；\n3. 分别记录两个请求的响应结果；\n4. 查询用户列表，检查账号 'testuser001' 是否存在及数量；\n5. 检查列表中是否出现重复的 'testuser001' 记录,1. 两个请求均能正常提交；\n2. 两个请求同时发起，无先后顺序限制；\n3. 一个请求返回成功，另一个请求返回账号已存在的提示；\n4. 用户列表中仅存在一条账号为 'testuser001' 的记录；\n5. 列表中无重复的 'testuser001' 记录,1,1,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【保存】 - 校验 - 账号唯一性校验/,新建用户时输入已存在账号提示“该账号已存在”,系统已存在账号“zhangsan”的用户，当前用户有用户管理权限，且已进入新建用户页面,"1. 在新建用户页面，账号输入框输入“zhangsan”
2. 填写姓名“张三”
3. 选择角色“算法工程师”
4. 点击“保存”按钮","1. 账号输入框显示“zhangsan”
2. 姓名输入框显示“张三”
3. 角色下拉框显示“算法工程师”
4. 页面提示“该账号已存在”，保存失败，不新增用户",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【保存】 - 校验 - 账号唯一性校验/,新建用户时账号唯一性校验-大小写不同视为不同账号,系统已存在账号“zhangsan”的用户，当前用户有用户管理权限，且已进入新建用户页面,"1. 在新建用户页面，账号输入框输入“ZhangSan”
2. 填写姓名“张三”
3. 选择角色“采集工程师”
4. 点击“保存”按钮","1. 账号输入框显示“ZhangSan”
2. 姓名输入框显示“张三”
3. 角色下拉框显示“采集工程师”
4. 保存成功，列表顶部显示新用户，账号为“ZhangSan”",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 【新建用户】 - 【保存】 - 校验 - 账号唯一性校验/,新建用户时账号唯一性校验-账号前后空格处理,系统已存在账号“zhangsan”的用户，当前用户有用户管理权限，且已进入新建用户页面,"1. 在新建用户页面，账号输入框输入“ zhangsan ”（前后各一个空格）
2. 填写姓名“张三”
3. 选择角色“标注工程师”
4. 点击“保存”按钮","1. 账号输入框显示“ zhangsan ”
2. 姓名输入框显示“张三”
3. 角色下拉框显示“标注工程师”
4. 页面提示“该账号已存在”，保存失败，不新增用户",1,2,功能测试,功能测试阶段
